Grupo de Prioridade;Cenário;Identificador;Grupo de Processo;Unidade de Negócio;Área de Negócio;Lider do Cenário;Meu Envolvimento;Situação x Planejamento;Qtde. Execuções Concluídas;Status;Gerado em
P1;Ordem de Produção (FFO) Propria - Bello Ap. do Taboado Peixe;PLUSVAL.PPE.0147.V1;Planejamento de Produção ao Estoque;PLUSVAL AGROAVICOLA LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P1;Ordem de Produção (FFO) Propria - Bello Itaquirai;BELLO.PPE.0160.V3;Planejamento de Produção ao Estoque;BELLO ALIMENTOS LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P1;Ordem de Produção (FFO) Propria - Mais Frango;PLUSVAL.PPE.0152.V1;Planejamento de Produção ao Estoque;PLUSVAL AGROAVICOLA LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P1;Ordem de Produção Frango Vivo - Pluma Toledo;PLUMA_AGRO.PPE.0320.V3;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Manufatura;Paulo Pacheco;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P1;Ordem de Produção Frango Vivo - Plusval Capanema;PLUSVAL.PPE.0153.V1;Planejamento de Produção ao Estoque;PLUSVAL AGROAVICOLA LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P1;Ordem de Produção Frango Vivo - Plusval Ipora;PLUSVAL.PPE.0148.V1;Planejamento de Produção ao Estoque;PLUSVAL AGROAVICOLA LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P1;Ordem de Produção Frango Vivo - Plusval Umuarama;PLUSVAL.PPE.0146.V3;Planejamento de Produção ao Estoque;PLUSVAL AGROAVICOLA LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P1;Ordem de Produção (Frigorifico) Ordem Processo - Bello Ap do Taboado Peixe;BELLO.PPE.0164.V1;Planejamento de Produção ao Estoque;BELLO ALIMENTOS LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P1;Ordem de Produção (Frigorifico) Ordem Processo - Coprimar;COPRIMAR.PPE.003.V4;Planejamento de Produção ao Estoque;COPRIMAR COMERCIO DE PESCADOS E FRUTOS DO MAR LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P1;Ordem de Produção (Frigorifico) Ordem Processo - DF Aves;DF_AVES.PPE.002.V4;Planejamento de Produção ao Estoque;DF AVES LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P1;Ordem de Produção Incubatório - Pluma Bom Sucesso;PLUMA_AGRO.PPE.0321.V1;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Manufatura;Paulo Pacheco;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P1;Ordem de Produção Incubatório - Pluma Gen Campina Grande;PLUMA_GEN.PPE.0020.V3;Planejamento de Produção ao Estoque;PLUMA GENETICS LTDA;Manufatura;Paulo Pacheco;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P1;Ordem de Produção Incubatório - Pluma Ipora;PLUMA_AGRO.PPE.0323.V1;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Manufatura;Paulo Pacheco;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P1;Ordem de Produção Incubatório - Pluma São Jose Patrocinio;PLUMA_AGRO.PPE.0322.V1;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Manufatura;Paulo Pacheco;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P1;Ordem de Produção (Incubatorio) Em Terceiros - Plusval Ipora;PLUSVAL.PPE.0156.V1;Planejamento de Produção ao Estoque;PLUSVAL AGROAVICOLA LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P1;Ordem de Produção Ovos Ferteis - Cassilandia;CASSILANDIA.PPE.0019.V1;Planejamento de Produção ao Estoque;CASSILANDIA AGROAVICOLA LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P1;Ordem de Produção Ovos Ferteis - Plusval;PLUSVAL.PPE.0149.V1;Planejamento de Produção ao Estoque;PLUSVAL AGROAVICOLA LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P1;Ordem de Produção Peixe Vivo Proprio - Mar e Terra Ap do Taboado;MAR_E_TERRA.PPE.0129.V1;Planejamento de Produção ao Estoque;MAR & TERRA INDUSTRIA E COMERCIO DE PESCADOS S.A;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P1;Ordem de Produção Peixe Vivo Proprio - Mar e Terra Itapora;MAPA.PPE.0001.V3;Planejamento de Produção ao Estoque;MAPA PARTICIPACOES SOCIAIS LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P1;Realizar Fechamento de Custos;DOURAMIX.PPE.0007.V4;Planejamento de Produção ao Estoque;RACOES DOURAMIX LTDA;Controladoria;Paulo Pacheco;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P1;Realizar Fechamento de Custos;PLUMA_GEN.PPE.0015.V4;Planejamento de Produção ao Estoque;PLUMA GENETICS LTDA;Controladoria;Paulo Pacheco;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P1;Realizar Fechamento de Custos;PLUMA_AGRO.PPE.0055.V4;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Controladoria;Paulo Pacheco;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P1;Relatórios de Verificação de Custos;MAR_E_TERRA.PPE.0024.V4;Planejamento de Produção ao Estoque;MAR & TERRA INDUSTRIA E COMERCIO DE PESCADOS S.A;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P1;Relatórios de Verificação de Custos;PLUMA_AGRO.PPE.0054.V4;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Controladoria;Paulo Pacheco;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P1;Relatórios de Verificação de Custos;BELLO.PPE.0053.V4;Planejamento de Produção ao Estoque;BELLO ALIMENTOS LTDA;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P1;Relatórios de Verificação de Custos;CASSILANDIA.PPE.0013.V4;Planejamento de Produção ao Estoque;CASSILANDIA AGROAVICOLA LTDA;Controladoria;Paulo Pacheco;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P1;Transformação Peixe Comprado;MAR_E_TERRA.PPE.0127.V3;Planejamento de Produção ao Estoque;MAR & TERRA INDUSTRIA E COMERCIO DE PESCADOS S.A;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P10;Calculo das Taxas de Recursos;MAR_E_TERRA.PPE.0023.V4;Planejamento de Produção ao Estoque;MAR & TERRA INDUSTRIA E COMERCIO DE PESCADOS S.A;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P10;Calculo das Taxas de Recursos;CASSILANDIA.PPE.0015.V4;Planejamento de Produção ao Estoque;CASSILANDIA AGROAVICOLA LTDA;Controladoria;Paulo Pacheco;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
P10;Calculo das Taxas de Recursos;PLUMA_GEN.PPE.0018.V4;Planejamento de Produção ao Estoque;PLUMA GENETICS LTDA;Controladoria;Paulo Pacheco;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-06 08:52
