Grupo de Prioridade;Cenário;Identificador;Grupo de Processo;Unidade de Negócio;Área de Negócio;Lider do Cenário;Meu Envolvimento;Situação x Planejamento;Qtde. Execuções Concluídas;Status
P1;Ordem de Produção Peixe Vivo Proprio - Mar e Terra Ap do Taboado;MAR_E_TERRA.PPE.0129.V3;Planejamento de Produção ao Estoque;MAR & TERRA INDUSTRIA E COMERCIO DE PESCADOS S.A;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;Ordem de Produção Peixe Vivo Proprio - Mar e Terra Dourados;MAR_E_TERRA.PPE.0131.V3;Planejamento de Produção ao Estoque;MAR & TERRA INDUSTRIA E COMERCIO DE PESCADOS S.A;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;Ordem de Produção Peixe Vivo Proprio - Mar e Terra Rio Brilhante;MAR_E_TERRA.PPE.0133.V3;Planejamento de Produção ao Estoque;MAR & TERRA INDUSTRIA E COMERCIO DE PESCADOS S.A;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;Ordem de Produção Peixe Vivo Proprio - Mar e Terra Sante Fe do Sul;MAR_E_TERRA.PPE.0130.V3;Planejamento de Produção ao Estoque;MAR & TERRA INDUSTRIA E COMERCIO DE PESCADOS S.A;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;Realizar Fechamento de Custos;MAR_E_TERRA.PPE.0027.V6;Planejamento de Produção ao Estoque;MAR & TERRA INDUSTRIA E COMERCIO DE PESCADOS S.A;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;Realizar Fechamento de Custos;MAIS_FRANGO.PPE.0017.V6;Planejamento de Produção ao Estoque;MAIS FRANGO MIRAGUAI LTDA;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;Relatórios de Verificação de Custos;MAR_E_TERRA.PPE.0024.V6;Planejamento de Produção ao Estoque;MAR & TERRA INDUSTRIA E COMERCIO DE PESCADOS S.A;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;Relatórios de Verificação de Custos;MAIS_FRANGO.PPE.0014.V6;Planejamento de Produção ao Estoque;MAIS FRANGO MIRAGUAI LTDA;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;Transformação Peixe Comprado;MAR_E_TERRA.PPE.0127.V5;Planejamento de Produção ao Estoque;MAR & TERRA INDUSTRIA E COMERCIO DE PESCADOS S.A;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P10;Ordem de Produção (Fabrica de Ração) - Pluma Dois Vizinhos;PLUMA_AGRO.PPE.0339.V1;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Manufatura;Paulo Pacheco;Sem Atividade;Dentro do Planejamento;0;Em Andamento
P2;Calculo das Taxas de Recursos;ASTRA.PPE.0008.V6;Planejamento de Produção ao Estoque;ASTRA COMERCIAL DE PRODUTOS ALIMENTICIOS LTDA;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P2;Calculo das Taxas de Recursos;CASSILANDIA.PPE.0015.V6;Planejamento de Produção ao Estoque;CASSILANDIA AGROAVICOLA LTDA;Controladoria;Paulo Pacheco;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P2;Contabilização de Custos;ASTRA.PPE.0009.V6;Planejamento de Produção ao Estoque;ASTRA COMERCIAL DE PRODUTOS ALIMENTICIOS LTDA;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P2;Contabilização de Custos;CASSILANDIA.PPE.0014.V6;Planejamento de Produção ao Estoque;CASSILANDIA AGROAVICOLA LTDA;Controladoria;Paulo Pacheco;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P2;Custo Gerencial Frango Vivo;ASTRA.PPE.0016.V3;Planejamento de Produção ao Estoque;ASTRA COMERCIAL DE PRODUTOS ALIMENTICIOS LTDA;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P2;Indice de absorção da carne Frigorifico Itapui;ASTRA.PPE.0015.V3;Planejamento de Produção ao Estoque;ASTRA COMERCIAL DE PRODUTOS ALIMENTICIOS LTDA;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P2;Ordem de Produção (Fabrica de Ração) - Cassilândia;CASSILANDIA.PPE.0020.V3;Planejamento de Produção ao Estoque;CASSILANDIA AGROAVICOLA LTDA;Manufatura;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
